date,temperature_mean,temperature_max,temperature_min,rainfall,district
2020-04-09,22.27,26.79,18.51,2.11,Balaka
2020-04-10,21.13,26.2,17.81,1.87,Balaka
2020-04-11,21.04,25.87,16.23,0.05,Balaka
2020-04-12,22.67,28.38,17.08,0.0,Balaka
2020-04-13,23.49,29.14,18.13,0.01,Balaka
2020-04-14,23.59,29.24,18.76,0.03,Balaka
2020-04-15,23.53,29.77,17.93,0.02,Balaka
2020-04-16,23.46,29.54,18.93,0.34,Balaka
2020-04-17,22.86,29.06,18.13,0.49,Balaka
2020-04-18,22.37,27.13,18.86,7.46,Balaka
2020-04-19,21.22,26.07,17.63,1.82,Balaka
2020-04-20,20.2,25.62,16.53,0.99,Balaka
2020-04-21,20.53,26.15,16.56,0.45,Balaka
2020-04-22,20.49,26.15,15.75,0.09,Balaka
2020-04-23,20.69,26.22,16.64,0.26,Balaka
2020-04-24,20.49,26.3,15.83,0.11,Balaka
2020-04-25,21.21,27.41,15.43,0.13,Balaka
2020-04-26,21.52,27.19,16.9,0.05,Balaka
2020-04-27,20.81,26.69,16.45,0.06,Balaka
2020-04-28,21.05,27.18,15.58,0.57,Balaka
2020-04-29,22.23,28.36,16.89,0.01,Balaka
2020-04-30,23.07,29.76,17.33,0.02,Balaka
2020-05-01,23.01,28.86,18.67,1.61,Balaka
2020-05-02,21.31,27.15,16.66,0.7,Balaka
2020-05-03,20.57,26.27,16.79,0.63,Balaka
2020-05-04,19.8,26.02,14.71,0.03,Balaka
2020-05-05,19.33,25.57,14.4,2.38,Balaka
2020-05-06,19.18,25.38,14.36,0.02,Balaka
2020-05-07,19.28,25.34,14.04,0.01,Balaka
2020-05-08,19.14,25.27,14.26,0.23,Balaka
2020-05-09,18.49,24.83,12.74,0.07,Balaka
2020-05-10,18.43,24.0,13.7,0.21,Balaka
2020-05-11,18.93,24.85,14.71,0.01,Balaka
2020-05-12,19.9,26.35,14.39,0.0,Balaka
2020-05-13,20.7,27.53,14.38,0.0,Balaka
2020-05-14,20.23,27.84,14.59,0.0,Balaka
2020-05-15,18.95,25.56,14.0,0.0,Balaka
2020-05-16,18.53,25.75,13.46,0.0,Balaka
2020-05-17,17.09,24.02,11.04,0.01,Balaka
2020-05-18,17.39,23.9,12.96,0.07,Balaka
2020-05-19,17.03,24.01,10.45,0.0,Balaka
2020-05-20,17.46,24.36,11.83,0.02,Balaka
2020-05-21,17.53,24.37,11.38,0.0,Balaka
2020-05-22,18.37,25.21,13.54,0.0,Balaka
2020-05-23,17.87,25.06,12.39,0.0,Balaka
2020-05-24,18.45,25.61,12.46,0.04,Balaka
2020-05-25,19.76,27.04,12.7,0.01,Balaka
2020-05-26,21.12,28.38,14.86,0.02,Balaka
2020-05-27,23.36,29.97,16.14,0.06,Balaka
2020-05-28,20.88,24.83,17.77,0.96,Balaka
2020-05-29,21.2,27.33,16.72,0.33,Balaka
2020-05-30,21.64,27.63,17.32,0.33,Balaka
2020-05-31,20.11,26.69,15.26,0.21,Balaka
2020-06-01,18.29,25.28,13.68,0.05,Balaka
2020-06-02,17.97,25.01,11.91,0.0,Balaka
2020-06-03,18.78,25.29,13.91,0.1,Balaka
2020-06-04,19.11,25.8,13.42,0.14,Balaka
2020-06-05,18.76,24.81,14.58,1.14,Balaka
2020-06-06,17.95,24.72,12.19,0.08,Balaka
2020-06-07,17.42,23.99,12.26,0.21,Balaka
2020-06-08,17.36,24.01,12.11,0.56,Balaka
2020-06-09,18.01,24.83,12.27,0.05,Balaka
2020-06-10,19.03,25.98,13.53,0.03,Balaka
2020-06-11,19.53,26.24,13.5,0.05,Balaka
2020-06-12,20.04,26.21,14.03,0.24,Balaka
2020-06-13,18.76,25.13,13.18,4.73,Balaka
2020-06-14,17.26,22.42,13.1,9.65,Balaka
2020-06-15,15.94,22.5,10.12,0.04,Balaka
2020-06-16,16.03,21.88,10.79,0.14,Balaka
2020-06-17,14.76,21.61,9.21,0.02,Balaka
2020-06-18,16.57,22.97,10.88,0.53,Balaka
2020-06-19,17.37,22.96,13.84,0.61,Balaka
2020-06-20,16.5,22.58,12.78,0.32,Balaka
2020-06-21,16.74,24.09,11.33,0.05,Balaka
2020-06-22,17.1,24.54,11.39,0.07,Balaka
2020-06-23,17.02,24.4,10.94,0.09,Balaka
2020-06-24,17.5,24.22,12.02,0.1,Balaka
2020-06-25,17.57,23.71,13.0,0.57,Balaka
2020-06-26,18.56,25.66,12.21,0.42,Balaka
2020-06-27,20.59,27.43,13.22,0.14,Balaka
2020-06-28,22.02,28.81,15.46,0.1,Balaka
2020-06-29,21.16,27.15,16.41,0.38,Balaka
2020-06-30,18.97,25.53,14.26,0.1,Balaka
2020-07-01,16.52,23.22,11.3,0.11,Balaka
2020-07-02,17.2,24.18,11.93,0.59,Balaka
2020-07-03,17.45,24.99,11.76,0.0,Balaka
2020-07-04,16.44,23.71,10.25,0.01,Balaka
2020-07-05,16.63,23.99,10.63,0.01,Balaka
2020-07-06,17.45,24.49,10.99,0.02,Balaka
2020-07-07,18.92,26.45,13.27,0.05,Balaka
2020-07-08,19.33,26.13,13.67,0.05,Balaka
2020-07-09,20.41,26.99,15.09,0.15,Balaka
2020-07-10,21.19,29.09,15.68,0.0,Balaka
2020-07-11,20.56,28.85,13.76,0.0,Balaka
2020-07-12,19.4,26.15,14.04,0.02,Balaka
2020-07-13,18.73,25.1,14.86,0.03,Balaka
2020-07-14,19.08,27.58,12.93,0.0,Balaka
2020-07-15,19.03,27.19,12.91,0.89,Balaka
2020-07-16,15.51,20.36,11.22,5.44,Balaka
2020-07-17,14.71,19.28,11.03,8.71,Balaka
2020-07-18,16.24,22.28,12.29,7.87,Balaka
2020-07-19,16.47,23.05,11.54,2.09,Balaka
2020-07-20,16.76,23.24,12.21,0.84,Balaka
2020-07-21,16.2,22.93,10.0,0.03,Balaka
2020-07-22,15.95,22.38,10.38,0.05,Balaka
2020-07-23,16.04,22.55,9.72,0.07,Balaka
2020-07-24,15.86,21.87,11.4,2.26,Balaka
2020-07-25,17.18,23.33,12.33,1.01,Balaka
2020-07-26,15.94,23.2,9.79,0.02,Balaka
2020-07-27,16.77,23.17,11.93,0.27,Balaka
2020-07-28,17.15,23.48,12.22,0.59,Balaka
2020-07-29,17.58,24.29,11.84,0.06,Balaka
2020-07-30,18.25,25.52,12.41,0.0,Balaka
2020-07-31,16.41,24.05,10.06,0.0,Balaka
2020-08-01,16.01,23.55,9.06,0.01,Balaka
2020-08-02,17.13,24.44,10.12,0.01,Balaka
2020-08-03,19.01,25.77,13.81,0.02,Balaka
2020-08-04,19.92,27.23,13.9,0.18,Balaka
2020-08-05,21.14,28.62,14.34,0.02,Balaka
2020-08-06,21.28,29.09,13.8,0.0,Balaka
2020-08-07,20.96,29.13,14.5,0.01,Balaka
2020-08-08,17.65,24.15,12.86,1.01,Balaka
2020-08-09,15.94,23.92,9.64,0.0,Balaka
2020-08-10,18.19,27.26,11.7,0.0,Balaka
2020-08-11,18.76,27.55,12.58,0.0,Balaka
2020-08-12,18.43,27.52,11.26,0.0,Balaka
2020-08-13,19.44,28.49,13.0,0.0,Balaka
2020-08-14,19.56,27.36,12.88,0.0,Balaka
2020-08-15,19.52,27.64,13.1,0.0,Balaka
2020-08-16,21.73,30.61,13.52,0.0,Balaka
2020-08-17,22.2,30.71,14.98,0.0,Balaka
2020-08-18,22.17,29.94,15.46,0.0,Balaka
2020-08-19,23.53,31.85,15.75,0.0,Balaka
2020-08-20,22.58,29.61,16.27,0.03,Balaka
2020-08-21,21.42,28.29,16.32,0.2,Balaka
2020-08-22,19.9,26.2,15.57,0.21,Balaka
2020-08-23,19.62,26.61,14.03,0.04,Balaka
2020-08-24,21.28,28.13,13.61,0.63,Balaka
2020-08-25,22.61,28.19,16.31,1.19,Balaka
2020-08-26,23.96,31.0,16.75,0.39,Balaka
2020-08-27,24.62,31.05,18.85,0.31,Balaka
2020-08-28,24.81,31.91,18.12,0.04,Balaka
2020-08-29,24.26,32.82,17.05,0.0,Balaka
2020-08-30,24.45,33.87,17.06,0.0,Balaka
2020-08-31,23.77,32.26,16.07,0.0,Balaka
2020-09-01,22.57,30.39,15.47,0.01,Balaka
2020-09-02,22.06,28.83,16.37,0.25,Balaka
2020-09-03,21.16,28.28,16.06,0.73,Balaka
2020-09-04,19.53,27.07,12.11,0.03,Balaka
2020-09-05,19.39,26.65,12.89,0.35,Balaka
2020-09-06,19.66,27.1,13.57,0.16,Balaka
2020-09-07,20.35,28.43,12.73,0.02,Balaka
2020-09-08,19.67,27.83,12.99,0.0,Balaka
2020-09-09,19.66,27.64,12.16,0.0,Balaka
2020-09-10,21.17,28.53,14.07,0.0,Balaka
2020-09-11,20.96,26.89,14.7,0.0,Balaka
2020-09-12,21.79,28.29,15.56,0.0,Balaka
2020-09-13,23.6,30.69,16.79,0.0,Balaka
2020-09-14,25.52,32.32,18.77,0.0,Balaka
2020-09-15,27.05,34.25,19.55,0.0,Balaka
2020-09-16,27.81,34.89,20.69,0.0,Balaka
2020-09-17,27.64,35.6,20.13,0.0,Balaka
2020-09-18,25.86,33.41,19.74,0.0,Balaka
2020-09-19,25.15,32.85,17.87,0.01,Balaka
2020-09-20,25.88,33.36,17.94,0.0,Balaka
2020-09-21,25.58,33.96,17.91,0.0,Balaka
2020-09-22,24.57,32.32,17.58,0.06,Balaka
2020-09-23,23.2,30.54,16.71,0.13,Balaka
2020-09-24,23.13,31.46,16.33,0.0,Balaka
2020-09-25,24.72,33.15,15.86,0.0,Balaka
2020-09-26,26.27,35.16,18.53,0.0,Balaka
2020-09-27,26.96,35.92,18.93,0.0,Balaka
2020-09-28,27.34,35.92,19.57,0.0,Balaka
2020-09-29,27.07,35.27,19.49,0.0,Balaka
2020-09-30,27.53,35.2,20.01,0.0,Balaka
2020-10-01,26.96,35.08,19.26,0.0,Balaka
